PortCode,PortCity
USCHS,Charleston
USDAL,Dallas
USHOU,Houston
USMEM,Memphis
USORF,Norfolk
USSAV,Savannah
USMSY,New Orleans
USMOB,Mobile
USLAX,Los Angles
USLGB,Long Beach
