Warehouse,Name,City,State,Region,Export,Port,ESO,Flat Bed Fees,Late Fees,Transportation Adjust,Misc  Fees,Consol Interest
208710,West Florida Gin and Warehouse,Walnut Hill,FL,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
213008,McCleskey Cotton Company,Albany,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
217517,Sunshine Warehouse,Arlington,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
220586,Sumter County Producers Gin Warehouse,Americus,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
221010,Decatur Gin Warehouse,Bainbridge,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
222010,"Bryant's, Inc.",Bartow,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
224505,Early County Gin Company,Blakely,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
225625,Boston Gin Company,Boston,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
227500,"McCleskey Cotton Company, LLC",Bronwood,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
228002,Bulloch Gin Inc,Brooklet,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
232400,Cotton Fortunes Inc,Cuthbert,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
232401,The Peoples Warehouse-Cuthbert,Cuthbert,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
240124,"Sowega Cotton, Inc.",Climax,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
242020,"Miller County Warehouse Company, Inc.",Colquitt,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
245509,"McCay Gin and Warehouse Co., Inc.",Cordele,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
245545,Union Comp/Cordele,Cordele,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
253005,Dexter Bonded Warehouse,Dexter,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
253506,Mobley Gin Company,Doerun,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
254002,Cloverleaf Warehouse Inc,Donalsonville,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
255005,Coffee County Gin Whse,Douglas,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
255025,Tri County Gin Inc,Douglas,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
256030,Roche Farm and Garden Warehouse,Dublin,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
266405,Funston Gin Co,Funston,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
266861,"Supply Chain Management, LLC-Savannah Whse",Pooler,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
270800,South Ga Coton -Hazelhurst,Hazelhurst,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
273518,Heart of Georgia Gin,Hawkinsville,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
274301,"South Georgia Cotton Whse., Inc.",Hazlehurst,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
282100,Dooly County Gin LLC,Buena Vista,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
282101,"Irwin County Warehouse, LLC- Lenox",Lenox,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
291000,Moultrie Warehouse and Storage LLC,Moultrie,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
297005,Four Corners Gin Co Inc,Meigs,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
297507,Candler Gin and Warehouse,Metter,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
297509,"Growers Cotton Warehouse, Inc.",Metter,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
298007,"Midville Warehouse, Inc.",Midville,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
298008,Riverside Gin and Storage,Midville,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
301535,Trico Gin and Peanut Inc,Unadilla,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
304495,B.C.T. Gin Company Inc,Moultrie,GA,GA 30 Day,ER5,Savannah,0,0,2.840909091,0,0,0
304500,Doerun Gin Company Warehouse,Doerun,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
304501,Farmers Gin and Peanut Warehouse,Moultrie,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
304552,"Mundy, Inc.",Millen,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
304553,Bostwick Gin Warehouse,Madison,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
306310,Dixon Gin Company,Enigma,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
306316,"South Central GA Warehouse, Inc.",Enigma,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
308005,Norman Park Gin and Warehouse,Norman Park,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
309100,Osceola Cotton Company LLC E 1st st,Ocilla,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
309509,"Irwin County Warehouse, LLC- Omega",Omega,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
310516,Osceola Cotton Warehouse,Ocilla,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
311000,Savannah Distribution Center,Port Wentworth,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
313010,Pinecliff Planters Warehouse,Camilla,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
313023,"The Southern Gin Co, Inc",Pelham,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
313510,Planters Warehouse/Pinehurst,Pinehurst,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
314006,Pinecliff Peanut and Grain Inc,Pelham,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
316751,Supply chain Management-Rincon,Rincon,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
326202,Coffee County Gin co -Statesboro,Statesboro,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
331015,The Peoples Warehouse,Shellman,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
333503,Southern States Coop,Statesboro,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
335533,Tri County Gin Company,Taylorsville,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
337525,"Southeastern Gin, Inc.",Surrency,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
339007,Sconyers Gin and Warehouse,Sycamore,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
339733,Screven Gin Co.,Sylvania,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
340015,"Worth Gin & Whse, Inc",Sylvester,GA,GA 30 Day,ER5,Savannah,0,0,0,0,0,0
