Warehouse,Name,City,State,Region,Export,Port,ESO,Flat Bed Fees,Late Fees,Transportation Adjust,Misc  Fees,Consol Interest
810537,"City Gin Cotton Warehouse, LLC",Abernathy,TX,WTX,WTX,Dallas,0,0,0,0,0,0
810538,Amarillo Cotton Warehouse,Amarillo,TX,WTX,WTX,Dallas,0,0,0,0,0,0
819202,Cargill Cotton Baytown,Baytown,TX,STEX,STX,Houston,0,0,0,0,0,0
820010,Ballinger Cotton Warehouse Co.,Ballinger,TX,WTX,WTX,Dallas,0,0,0,0,0,0
828031,Brownfield Compress,Brownfield,TX,WTX,WTX,Dallas,0,0,0,0,0,0
829535,Taylor Compress #2 Bryan,Bryan,TX,STEX,STX,Houston,0,0,0,0,0,0
829537,Plains Cotton Cooperative Assoc,Big Spring,TX,WTX,WTX,Dallas,1,1,0.25,0,0,0
840509,Gulf Compress - Sweetwater,Sweetwater,TX,WTX,WTX,Dallas,1,1,0,0,0,0
840510,Gulf Compress Unit #4,Portland,TX,STEX,STX,Houston,1,1,0,0,0,0
840512,Gulf Compress #1,Corpus Christi,TX,STEX,STX,Houston,1,1,0,0,0,0
840513,Gulf Compress #2,Corpus Christi,TX,STEX,STX,Houston,1,1,0,0,0,0
840516,Gulf Compress #10,Taylor,TX,STEX,STX,Houston,1,1,0,0,0,0
843000,"Suncot Warehouse, LLC",Denver City,TX,WTX,WTX,Dallas,0,0,0,0,0,0
843002,East Centre Park Cotton Warehouse,Desoto,TX,WTX,WTX,Dallas,0,0,0,0,0,0
846847,Olam dba Anderson Clayton - Dallas TX Warehouse #1,Dallas,TX,WTX,WTX,Dallas,0,0,0,0,0,0
848548,"United Agricultural Cooperative, Inc. Cotton Warehouse",El Campo,TX,STEX,STX,Houston,0,0,0,0,0,0
853007,Ft Worth Commodity Warehouse,Ft Worth,TX,WTX,WTX,Dallas,0,0,0,0,0,0
858053,Moody Compress and Warehouse #1,Galveston,TX,STEX,STX,Houston,0,0,0,0,0,0
858054,Moody Compress and Warehouse #2,Galveston,TX,STEX,STX,Houston,0,0,0,0,0,0
858055,Moody Compress and Warehouse #3,Galveston,TX,STEX,STX,Houston,0,0,0,0,0,0
858056,Moody Compress and Warehouse #4,Galveston,TX,STEX,STX,Houston,0,0,0,0,0,0
858063,Moody Compress and Warehouse #6,Houston,TX,STEX,STX,Houston,0,0,0,0,0,0
858065,Southern Comp and Warehouse Co.,Galveston,TX,STEX,STX,Houston,0,0,0,0,0,0
858078,Glasscock County Co-Op Cotton Warehouses,Garden City,TX,WTX,WTX,Dallas,0,0,0,0,0,0
866503,Harlingen Compress Company,Harlingen,TX,STEX,STX,Houston,0,0,0,0,0,0
866505,Valley Compress Company,Harlingen,TX,STEX,STX,Houston,0,0,0,0,0,0
867017,Haskell Cotton Warehouse,Stamford,TX,WTX,WTX,Dallas,0,0,0,0,0,0
871048,Houston Commodity Warehouse,Houston,TX,STEX,STX,Houston,0,0,0,0,0,0
871049,Houston Commodity Warehouse #2,Houston,TX,STEX,STX,Houston,0,0,0,0,0,0
875260,Supply Chain Management- Desoto,Desoto,TX,WTX,WTX,Dallas,0,0,0,0,0,0
880533,Lamesa Warehouse,Lamesa,TX,WTX,WTX,Dallas,0,0,0,0,0,0
882008,FCC-Levelland Plant,Levelland,TX,WTX,WTX,Dallas,1,0,0,0,0,0
884033,HCC-Lockney Warehouse,Lockney,TX,WTX,WTX,Dallas,0,0,0,0,0,0
886506,Farmers Cooperative Compress,Lubbock,TX,WTX,WTX,Dallas,1,1,0.25,0,0,0
886509,Farmers Compress Coop #2,Lubbock,TX,WTX,WTX,Dallas,1,1,0.25,0,0,0
886512,Farmers Coop Compress #3,Lubbock,TX,WTX,WTX,Dallas,1,1,0.25,0,0,0
886517,Farmers Coop Compress #4,Lubbock,TX,WTX,WTX,Dallas,1,1,0.25,0,0,0
886520,Farmers Coop Compress #5,Lubbock,TX,WTX,WTX,Dallas,1,1,0.25,0,0,0
886533,Lubbock Compress,Lubbock,TX,WTX,WTX,Dallas,0,0,0,0,0,0
886570,"Lov-Cot Warehouse, L.P.",Lubbock,TX,WTX,WTX,Dallas,0,0,0,0,0,0
886623,Mallory Alexander International Logistics-Laredo,Laredo,TX,STEX,STX,Houston,0,0,0,0,0,0
898030,CIL- Prev-Colimar Inc,Weslaco,TX,STEX,STX,Houston,0,0,0,0,0,0
904033,O'Donnell Warehouse,O'donnell,TX,WTX,WTX,Dallas,0,0,0,0,0,0
906015,Panhandle Compress Co.,Paducah,TX,WTX,WTX,Dallas,0,0,0,0,0,0
911510,Panhandle Compress,Plainview,TX,WTX,WTX,Dallas,0,0,0,0,0,0
911520,Plainview Cooperative Compress #7,Plainview,TX,WTX,WTX,Dallas,0,0,0,0,0,0
911525,Plainview Cooperative Compress #6,Plainview,TX,WTX,WTX,Dallas,0,0,0,0,0,0
911533,HCC-Plainview,Plainview,TX,WTX,WTX,Dallas,0,0,0,0,0,0
913030,Panhandle Compress,Post,TX,WTX,WTX,Dallas,0,0,0,0,0,0
913054,Supply Chain Management LLC.,Pasadena,TX,STEX,STX,Houston,0,0,0,0,0,0
913055,Amarillo Cotton Warehouse Tulia,Tulia,TX,WTX,WTX,Dallas,0,0,0,0,0,0
914510,Panhandle Comp Quanah,Quanah,TX,WTX,WTX,Dallas,0,0,0,0,0,0
916501,Ralls Compress and Warehouse,Ralls,TX,WTX,WTX,Dallas,0,0,0,0,0,0
916710,Gulf Compress #5,Raymondville,TX,STEX,STX,Houston,1,1,0,0,0,0
916711,Gulf Compress #6,Raymondville,TX,STEX,STX,Houston,1,1,0,0,0,0
916712,Gulf Compress (North Plant#7),Raymondville,TX,STEX,STX,Houston,1,1,0,0,0,0
925011,"Dallas Warehouse Company, LLC",Grand Prairie,TX,WTX,WTX,Dallas,0,0,0,0,0,0
925012,Plains Cotton Cooperative Association,Rule,TX,WTX,WTX,Dallas,1,1,0.25,0,0,0
925013,CIL Warehouse,Willacy County,TX,STEX,STX,Houston,0,0,0,0,0,0
926005,Ballinger Cotton Warehouse Co.,San Angelo,TX,STEX,STX,Houston,0,0,0,0,0,0
928532,Seagraves Compress,Seagraves,TX,WTX,WTX,Dallas,0,0,0,0,0,0
928715,Willacy Cotton Warehouse,Sebastian,TX,STEX,STX,Houston,0,0,0,0,0,0
935002,Stanton Compress and Warehouse,Stanton,TX,WTX,WTX,Dallas,0,0,0,0,0,0
936006,FCC-Sudan,Sudan,TX,WTX,WTX,Dallas,1,0,0,0,0,0
937530,Plains Cotton Cooperative Association,Sweetwater,TX,WTX,WTX,Dallas,1,1,0.25,0,0,0
937534,Ballinger Cotton Warehouse Co. - Plant 3,Snyder,TX,WTX,WTX,Dallas,0,0,0,0,0,0
937535,Oasis Warehouse LLC,Seminole,TX,WTX,WTX,Dallas,0,0,0,0,0,0
939033,Tahoka Warehouse,Tahoka,TX,WTX,WTX,Dallas,0,0,0,0,0,0
940015,Taylor Compress,Taylor,TX,STEX,STX,Houston,0,0,0,0,0,0
940025,Taylor Compress Plant #3,Taylor,TX,STEX,STX,Houston,0,0,0,0,0,0
944344,Valley Gin Company,Tornillo,TX,WTX,WTX,Dallas,0,0,0,0,0,0
944708,Tulia Cotton Warehouse,Tulia,TX,WTX,WTX,Dallas,0,0,0,0,0,0
947505,Vernon Compress Company,Vernon,TX,WTX,WTX,Dallas,0,0,0,0,0,0
976503,Hawkins Bonded Warehouse,Emporia,VA,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
976505,Mid-Atlantic Warehouse and Gin,Emporia,VA,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
985505,Suffolk Cotton Gin Warehouse,Suffolk,VA,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
998008,Commonwealth Cotton Warehouse,Windsor,VA,Eastern Rule 5,ER5,Savannah,0,0,0,0,0,0
