Warehouse|Name|City|State|ESO|Flat Bed Fees|Late Fees|Transportation Adjust|Misc Fees|Grace Period
326202|Coffee County Gin co -Statesboro|Statesboro|GA||||||
331015|The Peoples Warehouse|Shellman|GA||||||
333503|Southern States Coop|Statesboro|GA||||||
335533|Tri County Gin Company|Taylorsville|GA||||||
337525|Southeastern Gin, Inc.|Surrency|GA||||||
339007|Sconyers Gin and Warehouse|Sycamore|GA||||||
339733|Screven Gin Co.|Sylvania|GA||||||
340015|Worth Gin & Whse, Inc|Sylvester|GA||||||
340017|Staplcotn/Savannah|Savannah|GA||||||
340100|Irwin County Whse, LLC - Tifton|Tifton|GA||||||
345008|Collins Bonded Warehouse, Inc.|Waynesboro|GA||||||
347750|Planters Warehouse-Vienna|Vienna|GA||||||
349526|Vienna Cotton Co Inc|Vienna|GA||||||
349527|West Bonded Warehouse/Dooly Gin|Vienna|GA||||||
349529|WSB Gin and Warehouse|Byromville|GA||||||
886512|Farmers Coop Compress #3|Lubbock|TX|1|1|0.25|||3 days
385000|Plains Cotton Cooperative Association|Liberal|KS|1|1|0.25|||3 days
385001|Plains Cotton Cooperative Association|Clearwater|KS|1|1|0.25|||3 days
400510|Cotton Storage Inc|Alexandria|LA||||||
406505|Cotton Warehouse of Concordia|Ferriday|LA||||||
410020|Hollybrook Warehouse|Lake Providence|LA||||||
413550|The Kearney Companies, Inc.|New Orleans|LA||||||
413551|The Kearney Company|New Orleans|LA||||||
416010|Staplcotn/Rayville|Rayville|LA||||||
417205|Tensas Warehouse, Inc.|St. Joseph|LA||||||
418515|Staplcotn/Tallulah Comp Warehouse|Tallulah|LA||||||
420002|Franklin Cotton Warehouse|Winnsboro|LA||||||
466466|Scruggs Farm Warehouse|Saltillo|MS||||||
467005|FCW- Belzoni|Belzoni|MS||||||24 hrs
470012|North Delta Compress and Warehouse Company|Clarksdale|MS||||||
476505|FCW- Greenwood #1|Greenwood|MS||||||24 hrs
476510|Federal Compress Greenwood #2|Greenwood|MS||||||24 hrs
476512|Staplcotn/Rising Sun|Greenwood|MS||||||
477005|Federal Compress Grenada|Grenada|MS||||||24 hrs
480505|Staplcotn/Indianola|Indianola|MS||||||
481005|Federal Compress Inverness #1|Inverness|MS||||||24 hrs
481010|Federal Compress Inverness #2|Inverness|MS||||||24 hrs
490150|Anderson Clayton Desoto Warehouse|Olive Branch|MS||||||
499502|Staplcotn/Tunica|Tunica|MS||||||
516004|Caruthersville Cotton Warehouse|Caruthersville|MO||||||
517010|Federal Compress Hayti|Hayti|MO||||||24 hrs
517813|Sandy Ridge Cotton Warehouse|Malden|MO||||||
886517|Farmers Coop Compress #4|Lubbock|TX|1|1|0.25|||3 days
518085|Bootheel Cotton Warehouse|New Madrid|MO||||||
518505|Federal Compress Portageville|Portageville|MO||||||24 hrs
518510|Missouri Cotton Warehouse|Portageville|MO||||||
536304|Deming Bonded Warehouse|Deming|NM||||||
538013|Plains Cotton Cooperative Association|Lovington|NM|1|1|0.25|||3 days
886520|Farmers Coop Compress #5|Lubbock|TX|1|1|0.25|||3 days
555225|Rolling Hills Bonded Warehouse|New London|NC||||||
558070|Pitt County Gin and Cotton Co.|Bethel|NC||||||
562665|Cotton Growers Warehouses Inc|Chocowinity|NC||||||
562865|Clarkton Bonded Warehouse|Clarkton|NC||||||
565545|Quality Bonded Warehouse, LLC|Dunn|NC||||||
565803|Elm City Warehouse|Elm City|NC||||||
565805|Silver Lake Bale Storage 1|Elm City|NC||||||
565806|Davis Bonded Warehouse|Hobgood|NC||||||
565807|Staplcotn- Edenton 2-3090|Edenton|NC||||||
566501|Albemarle Cotton Growers|Edenton|NC||||||
566505|Edenton Bonded Warehouse|Tyner|NC||||||
568010|Enfield Bonded Warehouse|Enfield|NC||||||
568016|Roanoke Tar Cotton Warehouse|Everetts|NC||||||
568017|Staplcotn Compress Warehouse|Erwin|NC||||||
570240|Stallings Farms Agribusiness|Herford|NC||||||
570440|Gaston Cooperative Inc|Garysburg|NC||||||
570505|P and M - Avon Bonded Warehouse|Gastonia|NC||||||
570507|Broad Street Bonded Warehouse|Gastonia|NC||||||
570620|Gates Cotton Gin Warehouse|Gates|NC||||||
571536|Ward & Nixon Warehouse|Gatesville|NC||||||
576503|Cotton Growers Warehouses Inc|Jackson|NC||||||
577277|Jones County Cotton Gin Inc|Trenton|NC||||||
578010|Harvey Gin and Cotton Company|Kinston|NC||||||
582003|Cotton Growers Warehouses Inc|Lumberton|NC||||||
587875|Producers Gin Bonded Warehouse|Murfreesboro|NC||||||
589209|Sampson Gin Company, Inc.|Newton Grove|NC||||||
590610|Coastal Carolina Gin|Pantego|NC||||||
593005|Hoke Cotton Warehouse and Storage|Raeford|NC||||||
