Warehouse,Region,Export,Port,Name,City,State,ESO,Flat Bed Fees,Late Fees,Transportation Adjust,Misc Fees,Grace Period
225625,GA 30 Day,ER5,Savannah,Boston Gin Company,Boston,GA,,,,,,
227500,GA 30 Day,ER5,Savannah,"McCleskey Cotton Company, LLC",Bronwood,GA,,,,,,
228002,GA 30 Day,ER5,Savannah,Bulloch Gin Inc,Brooklet,GA,,,,,,
232400,GA 30 Day,ER5,Savannah,Cotton Fortunes Inc,Cuthbert,GA,,,,,,
232401,GA 30 Day,ER5,Savannah,The Peoples Warehouse-Cuthbert,Cuthbert,GA,,,,,,
240124,GA 30 Day,ER5,Savannah,"Sowega Cotton, Inc.",Climax,GA,,,,,,
242020,GA 30 Day,ER5,Savannah,"Miller County Warehouse Company, Inc.",Colquitt,GA,,,,,,
245509,GA 30 Day,ER5,Savannah,"McCay Gin and Warehouse Co., Inc.",Cordele,GA,,,,,,
245545,GA 30 Day,ER5,Savannah,Union Comp/Cordele,Cordele,GA,,,,,,
253005,GA 30 Day,ER5,Savannah,Dexter Bonded Warehouse,Dexter,GA,,,,,,
253506,GA 30 Day,ER5,Savannah,Mobley Gin Company,Doerun,GA,,,,,,
254002,GA 30 Day,ER5,Savannah,Cloverleaf Warehouse Inc,Donalsonville,GA,,,,,,
255005,GA 30 Day,ER5,Savannah,Coffee County Gin Whse,Douglas,GA,,,,,,
255025,GA 30 Day,ER5,Savannah,Tri County Gin Inc,Douglas,GA,,,,,,
256030,GA 30 Day,ER5,Savannah,Roche Farm and Garden Warehouse,Dublin,GA,,,,,,
266405,GA 30 Day,ER5,Savannah,Funston Gin Co,Funston,GA,,,,,,
266861,GA 30 Day,ER5,Savannah,"Supply Chain Management, LLC-Savannah Whse",Pooler,GA,,,,,,
270800,GA 30 Day,ER5,Savannah,South Ga Coton -Hazelhurst,Hazelhurst,GA,,,,,,
273518,GA 30 Day,ER5,Savannah,Heart of Georgia Gin,Hawkinsville,GA,,,,,,
274301,GA 30 Day,ER5,Savannah,"South Georgia Cotton Whse., Inc.",Hazlehurst,GA,,,,,,
282100,GA 30 Day,ER5,Savannah,Dooly County Gin LLC,Buena Vista,GA,,,,,,
282101,GA 30 Day,ER5,Savannah,"Irwin County Warehouse, LLC- Lenox",Lenox,GA,,,,,,
291000,GA 30 Day,ER5,Savannah,Moultrie Warehouse and Storage LLC,Moultrie,GA,,,,,,
297005,GA 30 Day,ER5,Savannah,Four Corners Gin Co Inc,Meigs,GA,,,,,,
297507,GA 30 Day,ER5,Savannah,Candler Gin and Warehouse,Metter,GA,,,,,,
297509,GA 30 Day,ER5,Savannah,"Growers Cotton Warehouse, Inc.",Metter,GA,,,,,,
298007,GA 30 Day,ER5,Savannah,"Midville Warehouse, Inc.",Midville,GA,,,,,,
298008,GA 30 Day,ER5,Savannah,Riverside Gin and Storage,Midville,GA,,,,,,
301535,GA 30 Day,ER5,Savannah,Trico Gin and Peanut Inc,Unadilla,GA,,,,,,
304495,GA 30 Day,ER5,Savannah,B.C.T. Gin Company Inc,Moultrie,GA,,,2.84,,,
304500,GA 30 Day,ER5,Savannah,Doerun Gin Company Warehouse,Doerun,GA,,,,,,
886509,GA 30 Day,ER5,Savannah,Farmers Compress Coop #2,Lubbock,TX,1,1,0.25,,,3 days
304552,GA 30 Day,ER5,Savannah,"Mundy, Inc.",Millen,GA,,,,,,
304553,GA 30 Day,ER5,Savannah,Bostwick Gin Warehouse,Madison,GA,,,,,,
306310,GA 30 Day,ER5,Savannah,Dixon Gin Company,Enigma,GA,,,,,,
306316,GA 30 Day,ER5,Savannah,"South Central GA Warehouse, Inc.",Enigma,GA,,,,,,
308005,GA 30 Day,ER5,Savannah,Norman Park Gin and Warehouse,Norman Park,GA,,,,,,
