Warehouse,Region,Export,Port,Name,City,State,ESO,Flat Bed Fees,Late Fees,Transportation Adjust,Misc Fees,Grace Period
548900,WTX,WTX,Dallas,Mesa Farmers Cooperative Inc,Vado,NM,,,,,,
886533,WTX,WTX,Dallas,Lubbock Compress,Lubbock,TX,,,,,,
886570,WTX,WTX,Dallas,"Lov-Cot Warehouse, L.P.",Lubbock,TX,,,,,,
886623,STEX,STX,Houston,Mallory Alexander International Logistics-Laredo,Laredo,TX,,,,,,
898030,STEX,STX,Houston,CIL- Prev-Colimar Inc,Weslaco,TX,,,,,,
904033,WTX,WTX,Dallas,O'Donnell Warehouse,O'donnell,TX,,,,,,
906015,WTX,WTX,Dallas,Panhandle Compress Co.,Paducah,TX,,,,,,
911510,WTX,WTX,Dallas,Panhandle Compress,Plainview,TX,,,,,,
911520,WTX,WTX,Dallas,Plainview Cooperative Compress #7,Plainview,TX,,,,,,
911525,WTX,WTX,Dallas,Plainview Cooperative Compress #6,Plainview,TX,,,,,,
911533,WTX,WTX,Dallas,HCC-Plainview,Plainview,TX,,,,,,
913030,WTX,WTX,Dallas,Panhandle Compress,Post,TX,,,,,,
913054,STEX,STX,Houston,Supply Chain Management LLC.,Pasadena,TX,,,,,,
913055,WTX,WTX,Dallas,Amarillo Cotton Warehouse Tulia,Tulia,TX,,,,,,
914510,WTX,WTX,Dallas,Panhandle Comp Quanah,Quanah,TX,,,,,,
916501,WTX,WTX,Dallas,Ralls Compress and Warehouse,Ralls,TX,,,,,,
916710,STEX,STX,Houston,Gulf Compress #5,Raymondville,TX,1,1,,,,
916711,STEX,STX,Houston,Gulf Compress #6,Raymondville,TX,1,1,,,,
916712,STEX,STX,Houston,Gulf Compress (North Plant#7),Raymondville,TX,1,1,,,,
925011,WTX,WTX,Dallas,"Dallas Warehouse Company, LLC",Grand Prairie,TX,,,,,,
925012,WTX,WTX,Dallas,Plains Cotton Cooperative Association,Rule,TX,1,1,0.25,,,3 days
925013,STEX,STX,Houston,CIL Warehouse,Willacy County,TX,,,,,,
926005,STEX,STX,Houston,Ballinger Cotton Warehouse Co.,San Angelo,TX,,,,,,
928532,WTX,WTX,Dallas,Seagraves Compress,Seagraves,TX,,,,,,
928715,STEX,STX,Houston,Willacy Cotton Warehouse,Sebastian,TX,,,,,,
935002,WTX,WTX,Dallas,Stanton Compress and Warehouse,Stanton,TX,,,,,,
936006,WTX,WTX,Dallas,FCC-Sudan,Sudan,TX,,,,,,
937530,WTX,WTX,Dallas,Plains Cotton Cooperative Association,Sweetwater,TX,1,1,0.25,,,3 days
937534,WTX,WTX,Dallas,Ballinger Cotton Warehouse Co. - Plant 3,Snyder,TX,,,,,,
937535,WTX,WTX,Dallas,Oasis Warehouse LLC,Seminole,TX,,,,,,
939033,WTX,WTX,Dallas,Tahoka Warehouse,Tahoka,TX,,,,,,
940015,STEX,STX,Houston,Taylor Compress,Taylor,TX,,,,,,
940025,STEX,STX,Houston,Taylor Compress Plant #3,Taylor,TX,,,,,,
944344,WTX,WTX,Dallas,Valley Gin Company,Tornillo,TX,,,,,,
944708,WTX,WTX,Dallas,Tulia Cotton Warehouse,Tulia,TX,,,,,,
947505,WTX,WTX,Dallas,Vernon Compress Company,Vernon,TX,,,,,,
976503,Eastern Rule 5,ER5,Savannah,Hawkins Bonded Warehouse,Emporia,VA,,,,,,
976505,Eastern Rule 5,ER5,Savannah,Mid-Atlantic Warehouse and Gin,Emporia,VA,,,,,,
985505,Eastern Rule 5,ER5,Savannah,Suffolk Cotton Gin Warehouse,Suffolk,VA,,,,,,
998008,Eastern Rule 5,ER5,Savannah,Commonwealth Cotton Warehouse,Windsor,VA,,,,,,
