Warehouse	City	State	Name	County	Terms	Verified	Points	Recv	Strg	Load	Compr	Class	Mark	EffDate	Bales	Rail	ICE Ref	Capacity	CertLoad	CertCompr	CertMark	CertRecv	CertStrg	CertClass	Min Storage	Basis Adj.
149500	Dyess	AR	"Rabbit Ridge Gin and Warehouse, LLC"	Mississippi          	1	Yes	0.0453	1.5	2.9	18.25	0	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
151005	McGehee	AR	Federal Compress McGhee	Desha                	1	Yes	0.0555	2.7	3.25	18.25	0	3.05	0.5	9/1/2025	0	yes			0	0	0	0	0	0	0	
152705	Manila	AR	Federal Warehouse	Mississippi          	1	Yes	0.049	1	3.5	19.5	0	0	0.5	9/1/2025	0	no			0	0	0	0	0	0	0	
153005	Marianna	AR	Marianna Warehouse	Lee                  	1	Yes	0.0531	1.75	3.5	18.25	0	3.05	0	9/1/2025	0	yes			0	0	0	0	0	0	0	
153505	Crawfordsville	AR	Crittenden Gin Bonded Warehouse	Crittenden           	1	Yes	0.0541	5.05	4	10	8	0	0	8/1/2025	0	no	CRITTN	"92,000"	6.5	0	0.5	2.5	4.5	0	0	
156002	Monette	AR	Childress Warehouse	Craighead            	1	Yes	0.0455	1.5	3	10.25	8	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
156006	Marianna	AR	"Marianna Warehousing, LLC-Plant No. 2"	Lee                  	1	Yes	0.0531	1.75	3.5	18.25	0	3.05	0	9/1/2025	0	no			0	0	0	0	0	0	0	
160006	Portland	AR	GPS Bonded Warehouse	Ashley               	1	Yes	0.0536	4.8	3.25	9.75	9	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
160008	Portland	AR	"Portland Compress and Warehouse, Inc."	Ashley               	1	Yes	0.0527	5.1	3.25	9	9	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
160009	Portland	AR	"Portland Gin  and Warehouse, Inc."	Ashley               	1	Yes	0.0533	4.4	3.5	9.75	9	0	0	9/1/2025	0	yes			0	0	0	0	0	0	0	
166150	West Memphis	AR	Marion Distribution Center	Crittenden           	1	Yes	0.0521	2.75	3.75	16	0	3.05	0.5	9/1/2025	0	no		"57,000"	4.5	0	0.5	2.5	4.75	0	0	
167003	West Memphis	AR	Union Comp/W Memphis	Crittenden           	1	Yes	0.046	2.25	3.75	16.5	0	0	0.5	9/1/2025	0	yes	UNCOMP	"115,080"	9.5	0	0.5	2.5	4.75	0	0	
167025	West Memphis	AR	Staplcotn/W. Memphis	Crittenden           	1	Yes	0.0378	1.85	3	4	7	3.05	0	9/1/2025	0	yes	STWHSE	"125,000"	4	0	0	1.85	3.75	0	0	
167035	West Memphis	AR	Riverbend Warehouse	Crittenden           	1	Yes	0.0521	2.75	3.75	16	0	3.05	0.5	9/1/2025	0	yes	RIVBEN	"130,000"	4.5	0	0.5	2.5	4.75	0	0	
176000	Bakersfield	CA	Bakersfield Cotton Warehouse	Kern                 	5	Yes	0.0302	0	0.17	10	0	0	0	10/1/2025	0	yes			0	0	0	0	0	0	5.1	
176001	Bakersfield	CA	Calcot LTD Warehouse	Kern                 	5	Yes	0.0566	4	0.16	9	9.5	0	1	9/1/2025	0	no			0	0	0	0	0	0	0	
176006	Bakersfield	CA	Prime West Shipping Inc	Kern                 	5	Yes	0.0296	0	0.16	9.5	0	0	0.5	9/1/2025	0	no			0	0	0	0	0	0	0	
177501	Fresno	CA	Fambro Warehouse Company	Fresno               	5	Yes	0.0296	0	0.16	9.5	0	0	0.5	9/1/2025	0	no			0	0	0	0	0	0	0	
178580	McFarland	CA	Duncot Warehouse	Kern                 	5	Yes	0.0296	0	0.16	9.5	0	0	0.5	9/1/2025	0	no			0	0	0	0	0	0	0	
201501	Jay	FL	Burkhead Warehouse	Santa rosa           	1	Yes	0.037	3	2.5	5.5	7	0	0.5	9/1/2025	0	no			0	0	0	0	0	0	0	
201505	Jay	FL	Golden Gin and Warehouse	Santa rosa           	1	Yes	0.039	3.25	2.75	5.5	7	0	1	9/1/2025	0	no			0	0	0	0	0	0	0	
208710	Walnut Hill	FL	West Florida Gin and Warehouse	Escambia             	1	Yes	0.036	2.75	2.5	4.75	7	0	1	9/1/2025	0	no			0	0	0	0	0	0	0	
213008	Albany	GA	McCleskey Cotton Company	Dougherty            	4	Yes	0.0255	3.5	2.75	6.5	0	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
217517	Arlington	GA	Sunshine Warehouse	Calhoun              	4	Yes	0.0235	3.25	3	5.5	0	0	0	7/1/2025	0	no			0	0	0	0	0	0	0	
220586	Americus	GA	Sumter County Producers Gin Warehouse	Sumter               	4	Yes	0.022	3.5	2	5	0	0	0.5	3/4/2025	0	yes			0	0	0	0	0	0	0	
221010	Bainbridge	GA	Decatur Gin Warehouse	Decatur              	4	Yes	0.005	0	2.5	0	0	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
222010	Bartow	GA	"Bryant's, Inc."	Jefferson            	4	Yes	0.019	3	2	4.5	0	0	0	10/1/2025	0	no			0	0	0	0	0	0	0	
224505	Blakely	GA	Early County Gin Company	Early                	4	Yes	0.0053	0	2.65	0	0	0	0	4/3/2025	60	no			0	0	0	0	0	0	0	
225625	Boston	GA	Boston Gin Company	Thomas               	4	Yes	0.027	4	2.5	6	0	0	1	9/1/2025	13	no			0	0	0	0	0	0	0	
227500	Bronwood	GA	"McCleskey Cotton Company, LLC"	Terrell              	4	Yes	0.0255	3.5	2.75	6.5	0	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
228002	Brooklet	GA	Bulloch Gin Inc	Bulloch              	4	Yes	0.023	3.5	3	4.5	0	0	0.5	8/12/2025	0	no			0	0	0	0	0	0	0	
232400	Cuthbert	GA	Cotton Fortunes Inc	Randolph             	4	Yes	0.028	4	3	6	0	0	1	9/1/2025	0	no			0	0	0	0	0	0	0	
232401	Cuthbert	GA	The Peoples Warehouse-Cuthbert	Randolph             	4	Yes	0.025	5	2.5	5	0	0	0	6/30/2025	0	no			0	0	0	0	0	0	0	
240124	Climax	GA	"Sowega Cotton, Inc."	Decatur              	4	Yes	0.006	0	3	0	0	0	0	9/1/2025	17	no			0	0	0	0	0	0	0	
242020	Colquitt	GA	"Miller County Warehouse Company, Inc."	Miller               	4	Yes	0.0053	0	2.65	0	0	0	0	4/3/2025	0	no			0	0	0	0	0	0	0	
245509	Cordele	GA	"McCay Gin and Warehouse Co., Inc."	Crisp                	4	Yes	0.039	3	2.5	5	8	0	1	7/12/2025	0	no			0	0	0	0	0	0	0	
245545	Cordele	GA	Union Comp/Cordele	Crisp                	4	Yes	0.0272	3.85	3.75	5	0	0	1	9/1/2025	0	yes			0	0	0	0	0	0	0	
253005	Dexter	GA	Dexter Bonded Warehouse	Laurens              	4	Yes	0.0405	4	2.75	5	8	0	0.5	8/26/2025	0	no			5	8	0	4	2.25	0	0	
253506	Doerun	GA	Mobley Gin Company	Colquitt             	4	Yes	0.0235	3	2.75	5	0	0	1	7/7/2025	0	no			0	0	0	0	0	0	0	
254002	Donalsonville	GA	Cloverleaf Warehouse Inc	Seminole             	1	Yes	0.0053	0	2.65	0	0	0	0	9/1/2025	0	no			0	0	0	0	0	0	0	
255005	Douglas 	GA	Coffee County Gin Whse	Coffee               	4	Yes	0.039	3	3	5	7.5	0	1	9/1/2025	125	no			0	0	0	0	0	0	0	
255025	Douglas	GA	Tri County Gin Inc	Coffee               	4	Yes	0.043	4	3	6	7.5	0	1	8/13/2025	3290	no			0	0	0	0	0	0	0	
256030	Dublin	GA	Roche Farm and Garden Warehouse	Laurens              	4	Yes	0.0274	4	3.2	5	0	0	1.5	9/1/2025	0	no			0	0	0	0	0	0	0	
266405	Funston	GA	Funston Gin Co	Colquitt             	1	Yes	0.028	4	3	6	0	0	1	9/1/2025	0	no			0	0	0	0	0	0	0	
266861	Pooler	GA	"Supply Chain Management, LLC-Savannah Whse"	Chatham              	4	Yes	0.0212	3	0.12	4	0	0	0	9/1/2025	0	no			7.5	0	1.5	2.5	5.5	0	0	
270800	Hazelhurst	GA	South Ga Coton -Hazelhurst	Jeff davis           	4	Yes	0.0219	2.95	3	5	0	0	0	7/30/2025	0	no			0	0	0	0	0	0	0	
273518	Hawkinsville	GA	Heart of Georgia Gin	Pulaski              	4	Yes	0.014	4	3	0	0	0	0	7/7/2025	0	no			0	0	0	0	0	0	0	
274301	Hazelhurst	GA	"South Georgia Cotton Whse., Inc."	Jeff davis           	4	Yes	0.0219	2.95	3	5	0	0	0	7/30/2025	0	no			0	0	0	0	0	0	0	
282100	Buena Vista	GA	Dooly County Gin LLC	Marion               	4	Yes	0.038	3	4	5.5	5	0	1.5	9/2/2024	0	no			0	0	0	0	0	0	0	
282101	Lenox	GA	"Irwin County Warehouse, LLC- Lenox"	Cook                 	4	Yes	0.027	3.5	3.5	5.5	0	0	1	6/20/2025	0	no			0	0	0	0	0	0	0	
291000	Moultrie	GA	Moultrie Warehouse and Storage LLC	Colquitt             	4	Yes	0.0275	6	2.75	4	0	0	1	10/6/2025	0	no			0	0	0	0	0	0	2.75	
297005	Meigs	GA	Four Corners Gin Co Inc	Thomas               	4	Yes	0.024	3	3	5	0	0	1	9/1/2025	0	no			0	0	0	0	0	0	0	
297507	Metter	GA	Candler Gin and Warehouse	Candler              	4	Yes	0.024	3	3	5	0	0	1	7/21/2025	31	no			0	0	0	0	0	0	0	
297509	Metter	GA	"Growers Cotton Warehouse, Inc."	Candler              	4	Yes	0.0233	3.5	2.65	4.5	0	0	1	8/26/2025	0	no			4.5	0	1	3.5	2.1	0	0	
